ID,Elemento,Porcentaje,Tiempo_s,ObjFinal,DeteccionOK,PromDispersion,StdDispersion,MeanAbsDispersion,N_FalsosPositivos
277,31,35,13457.5109712,1.07870917774872,TRUE,4.19608054009943,5.93645989886429,4.19608054009943,0
278,31,40,13509.5584486,1.07931469763398,TRUE,4.20776860316645,5.95222245946634,4.20776860316645,0
279,31,45,13543.5511883,1.07974041583728,TRUE,4.21801797729521,5.96247989676418,4.21801797729521,0
280,32,5,13589.4853982,1.05464313438934,TRUE,3.69281434285246,5.61762043432837,3.69281434285246,1
281,32,10,13637.6955777,1.05548773273652,TRUE,3.74137733713329,5.67454682935865,3.74137733713329,1
282,32,15,13685.5663165,1.05655671517756,TRUE,3.7962385240595,5.74567711974014,3.7962385240595,1
283,32,20,13725.611635,1.05807144713687,TRUE,3.87123535250963,5.84023012191782,3.87123535250963,1
284,32,25,13776.900929,1.06055655537188,TRUE,3.98242575527265,5.9792123311709,3.98242575527265,1
285,32,30,13826.4494013,1.06363311271699,TRUE,4.11085931045864,6.14144147092288,4.11085931045864,1
286,32,35,13874.3818433,1.06450656144688,TRUE,4.14835575126653,6.18398045012389,4.14835575126653,1
287,32,40,13922.5158713,1.06503162743433,TRUE,4.16574044441456,6.2102390519136,4.16574044441456,1
288,32,45,13968.592893,1.06550526244777,TRUE,4.1858211194684,6.23201807883503,4.1858211194684,1
289,33,5,14012.1615095,1.06267046777301,TRUE,3.88708443341962,5.5228813191343,3.88708443341962,1
290,33,10,14054.0741005,1.06435223976432,TRUE,3.91534852274583,5.56685381085354,3.91534852274583,1
291,33,15,14097.1650279,1.06637870025848,TRUE,3.95462073730015,5.62101774636221,3.95462073730015,1
292,33,20,14142.3109223,1.06912878313729,TRUE,4.00724298158285,5.69262054212033,4.00724298158285,1
293,33,25,14180.3497268,1.0730089036118,TRUE,4.08059832864913,5.79383691937113,4.08059832864913,1
294,33,30,14232.8429746,1.07771401056235,TRUE,4.17231941161376,5.91125573947227,4.17231941161376,1
295,33,35,14279.9538481,1.07868843233044,TRUE,4.19426818903416,5.93627664658348,4.19426818903416,1
296,33,40,14333.766304,1.07934439661054,TRUE,4.20904192227974,5.95240302993643,4.20904192227974,1
297,33,45,14385.8339833,1.07983182287153,TRUE,4.22396908944168,5.9642919424478,4.22396908944168,1
298,34,5,14432.8559236,1.05463315503551,TRUE,3.69354798726174,5.61720813585514,3.69354798726174,1
299,34,10,14485.0867337,1.05547720442664,TRUE,3.74122209715989,5.67406521641263,3.74122209715989,1
